2018-04-14 19:50:12.118 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper:	Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1afd44cb, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6973b51b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1ab3a8c8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@43195e57, org.springframework.test.context.transaction.TransactionalTestExecutionListener@333291e3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@479d31f3, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@40ef3420, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@498d318c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6e171cd7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@402bba4f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@795cd85e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@59fd97a8]
2018-04-14 19:50:12.130 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper:	Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.ec.customer.CustomerApplicationTests], using SpringBootContextLoader
2018-04-14 19:50:12.131 [main] INFO  o.s.test.context.support.AbstractContextLoader:	Could not detect default resource locations for test class [com.ec.customer.CustomerApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-04-14 19:50:12.132 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils:	Could not detect default configuration classes for test class [com.ec.customer.CustomerApplicationTests]: CustomerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-04-14 19:50:12.142 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper:	Found @SpringBootConfiguration com.ec.customer.CustomerApplication for test class com.ec.customer.CustomerApplicationTests
2018-04-14 19:50:12.147 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper:	Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-04-14 19:50:12.152 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper:	Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@36bc55de, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@564fabc8, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@16d04d3d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@49ec71f8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1d2adfbe, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@36902638, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@223d2c72, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@8f4ea7c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@436813f3, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@74fe5c40, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3febb011, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@10e31a9a]
2018-04-14 19:50:12.927 [main] INFO  com.ec.customer.CustomerApplicationTests:	Starting CustomerApplicationTests on PC-20171112AOWS with PID 6124 (started by Administrator in D:\Workspace\customer)
2018-04-14 19:50:12.927 [main] INFO  com.ec.customer.CustomerApplicationTests:	No active profile set, falling back to default profiles: default
2018-04-14 19:50:15.326 [main] INFO  com.ec.customer.controller.OrderController:	Initializing Thread:orders-insert-task,Priority:5
2018-04-14 19:50:16.271 [main] INFO  com.ec.customer.CustomerApplicationTests:	Started CustomerApplicationTests in 4.017 seconds (JVM running for 5.073)
2018-04-14 19:50:16.341 [Thread-8] INFO  com.ec.customer.controller.OrderController:	Destroy ExecutorService:orders-insert-task
